"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2017","306.97","313.45","316.50","304.00","118.04K","-2.07%"
"Oct 18, 2017","313.45","315.65","316.21","287.46","252.92K","-0.70%"
"Oct 17, 2017","315.65","334.46","334.80","308.00","191.86K","-5.62%"
"Oct 16, 2017","334.46","337.23","355.00","330.85","270.07K","-0.82%"
"Oct 15, 2017","337.23","339.24","344.89","315.00","250.08K","-0.59%"
"Oct 14, 2017","339.24","337.46","348.00","334.05","151.02K","0.53%"
"Oct 13, 2017","337.46","303.06","350.00","298.00","383.16K","11.35%"
"Oct 12, 2017","303.06","303.20","310.01","302.10","185.68K","-0.05%"
"Oct 11, 2017","303.20","299.32","306.55","296.60","116.31K","1.30%"
"Oct 10, 2017","299.32","297.40","307.00","292.57","104.64K","0.65%"
"Oct 09, 2017","297.40","309.82","311.16","287.03","180.23K","-4.01%"
"Oct 08, 2017","309.82","311.46","314.39","307.55","103.78K","-0.53%"
"Oct 07, 2017","311.46","308.43","315.00","304.50","117.03K","0.98%"
"Oct 06, 2017","308.43","295.12","309.59","293.04","106.64K","4.51%"
"Oct 05, 2017","295.12","291.40","297.92","285.12","90.80K","1.28%"
"Oct 04, 2017","291.40","291.69","296.00","287.56","112.70K","-0.10%"
"Oct 03, 2017","291.69","296.82","300.50","285.93","129.15K","-1.73%"
"Oct 02, 2017","296.82","304.26","304.63","292.10","133.99K","-2.45%"
"Oct 01, 2017","304.26","303.44","305.57","295.00","110.10K","0.27%"
"Sep 30, 2017","303.44","292.66","307.76","292.30","131.20K","3.68%"
"Sep 29, 2017","292.66","302.63","303.90","280.50","276.12K","-3.29%"
"Sep 28, 2017","302.63","309.75","310.69","297.75","140.29K","-2.30%"
"Sep 27, 2017","309.75","289.28","315.51","286.93","213.82K","7.08%"
"Sep 26, 2017","289.28","295.20","296.38","285.20","104.72K","-2.01%"
"Sep 25, 2017","295.20","282.00","297.93","281.80","186.37K","4.68%"
"Sep 24, 2017","282.00","285.90","294.54","275.41","196.56K","-1.36%"
"Sep 23, 2017","285.90","262.19","287.20","259.01","162.98K","9.04%"
"Sep 22, 2017","262.19","256.67","269.50","253.03","183.77K","2.15%"
"Sep 21, 2017","256.67","283.50","287.53","251.52","292.98K","-9.46%"
"Sep 20, 2017","283.50","282.63","294.00","277.00","146.38K","0.31%"
"Sep 19, 2017","282.63","296.81","299.00","275.00","268.88K","-4.78%"
"Sep 18, 2017","296.81","257.00","299.89","257.00","378.67K","15.49%"
"Sep 17, 2017","257.00","253.00","263.69","239.00","195.92K","1.58%"
"Sep 16, 2017","253.00","258.68","270.00","242.20","308.48K","-2.20%"
"Sep 15, 2017","258.68","222.50","269.00","198.00","954.56K","16.26%"
"Sep 14, 2017","222.50","275.48","281.01","221.71","642.98K","-19.23%"
"Sep 13, 2017","275.48","293.90","294.16","256.00","449.34K","-6.27%"
"Sep 12, 2017","293.90","297.19","316.73","283.00","261.52K","-1.11%"
"Sep 11, 2017","297.19","297.90","308.00","287.33","174.01K","-0.24%"
"Sep 10, 2017","297.90","303.08","305.00","276.11","254.70K","-1.71%"
"Sep 09, 2017","303.08","304.00","307.08","291.46","169.79K","-0.30%"
"Sep 08, 2017","304.00","334.10","334.58","291.00","309.62K","-9.01%"
"Sep 07, 2017","334.10","337.36","338.66","321.10","166.57K","-0.97%"
"Sep 06, 2017","337.36","316.18","339.50","314.81","230.11K","6.70%"
"Sep 05, 2017","316.18","295.81","323.17","267.64","381.67K","6.89%"
"Sep 04, 2017","295.81","350.63","351.59","275.00","569.73K","-15.63%"
"Sep 03, 2017","350.63","345.00","368.40","328.33","212.17K","1.63%"
"Sep 02, 2017","345.00","390.35","390.77","325.10","308.36K","-11.62%"
"Sep 01, 2017","390.35","387.30","395.03","383.60","131.80K","0.79%"
"Aug 31, 2017","387.30","382.78","390.00","380.10","98.59K","1.18%"
"Aug 30, 2017","382.78","372.00","390.10","365.10","188.64K","2.90%"
"Aug 29, 2017","372.00","347.09","375.98","346.42","180.48K","7.18%"
"Aug 28, 2017","347.09","348.01","352.00","332.74","111.21K","-0.26%"
"Aug 27, 2017","348.01","332.72","348.01","331.88","103.44K","4.60%"
"Aug 26, 2017","332.72","328.70","334.60","324.50","90.18K","1.22%"
"Aug 25, 2017","328.70","325.62","338.25","324.04","108.00K","0.95%"
"Aug 24, 2017","325.62","316.50","329.56","314.14","93.42K","2.88%"
"Aug 23, 2017","316.50","312.54","325.00","311.65","115.09K","1.27%"
"Aug 22, 2017","312.54","322.24","329.96","285.01","244.94K","-3.01%"
"Aug 21, 2017","322.24","298.37","346.99","294.53","329.81K","8.00%"
"Aug 20, 2017","298.37","292.78","299.00","286.96","86.96K","1.91%"
"Aug 19, 2017","292.78","292.00","298.51","280.00","158.37K","0.27%"
"Aug 18, 2017","292.00","299.00","307.00","286.00","165.16K","-2.34%"
"Aug 17, 2017","299.00","301.34","312.00","297.01","133.09K","-0.78%"
"Aug 16, 2017","301.34","286.00","304.00","279.94","150.43K","5.36%"
"Aug 15, 2017","286.00","298.22","299.91","272.29","179.77K","-4.10%"
"Aug 14, 2017","298.22","296.64","306.48","293.99","106.08K","0.53%"
"Aug 13, 2017","296.64","307.22","308.00","285.21","166.56K","-3.44%"
"Aug 12, 2017","307.22","308.81","319.78","299.00","160.55K","-0.51%"
"Aug 11, 2017","308.81","295.97","310.42","294.00","130.15K","4.34%"
"Aug 10, 2017","295.97","293.99","310.05","287.60","155.41K","0.67%"
"Aug 09, 2017","293.99","295.83","316.00","277.00","400.20K","-0.62%"
"Aug 08, 2017","295.83","269.51","299.50","265.00","207.56K","9.77%"
"Aug 07, 2017","269.51","264.29","274.60","257.32","146.17K","1.98%"
"Aug 06, 2017","264.29","253.87","271.50","251.00","209.86K","4.10%"
"Aug 05, 2017","253.87","220.73","259.90","219.23","234.87K","15.01%"
"Aug 04, 2017","220.73","224.79","228.30","218.66","83.46K","-1.81%"
"Aug 03, 2017","224.79","218.00","228.20","217.07","96.19K","3.11%"
"Aug 02, 2017","218.00","225.97","229.70","215.00","159.47K","-3.53%"
"Aug 01, 2017","225.97","200.81","232.59","200.80","352.31K","12.53%"
"Jul 31, 2017","200.81","195.31","201.50","188.12","126.90K","2.82%"
"Jul 30, 2017","195.31","206.76","210.76","192.21","149.31K","-5.54%"
"Jul 29, 2017","206.76","191.20","213.00","176.95","247.44K","8.14%"
"Jul 28, 2017","191.20","202.54","204.19","188.10","141.11K","-5.60%"
"Jul 27, 2017","202.54","203.33","207.00","197.86","117.42K","-0.39%"
"Jul 26, 2017","203.33","202.70","209.59","191.76","195.90K","0.31%"
"Jul 25, 2017","202.70","226.59","227.69","190.49","309.49K","-10.54%"
"Jul 24, 2017","226.59","228.15","232.56","223.64","101.65K","-0.68%"
"Jul 23, 2017","228.15","232.01","236.57","219.00","117.35K","-1.66%"
"Jul 22, 2017","232.01","216.11","237.19","214.35","158.92K","7.36%"
"Jul 21, 2017","216.11","227.29","239.00","208.00","243.96K","-4.92%"
"Jul 20, 2017","227.29","194.63","238.00","194.63","603.45K","16.78%"
"Jul 19, 2017","194.63","226.56","245.61","187.00","664.41K","-14.09%"
"Jul 18, 2017","226.56","190.16","258.00","177.50","718.93K","19.14%"
"Jul 17, 2017","190.16","157.40","190.61","155.00","414.02K","20.81%"
"Jul 16, 2017","157.40","170.15","172.70","136.12","602.49K","-7.49%"
"Jul 15, 2017","170.15","196.49","197.80","169.82","198.43K","-13.41%"
"Jul 14, 2017","196.49","205.00","207.76","179.58","277.64K","-4.15%"
"Jul 13, 2017","205.00","223.92","224.99","189.46","240.85K","-8.45%"
"Jul 12, 2017","223.92","188.63","225.00","177.78","311.08K","18.71%"
"Jul 11, 2017","188.63","202.00","215.00","169.00","446.12K","-6.62%"
"Jul 10, 2017","202.00","234.97","238.01","187.50","287.53K","-14.03%"
"Jul 09, 2017","234.97","245.23","249.00","234.15","57.56K","-4.18%"
